Tue Dec 19 14:54:28 2023       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.12             Driver Version: 535.104.12   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA H100 PCIe               On  | 00000000:41:00.0 Off |                    0 |
| N/A   27C    P0              45W / 350W |      4MiB / 81559MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
bloom_both_1000it
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 64
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/dtu/p1/johlau/LMOps/minillm/results/bloom/train/minillm_both/bs2-lr5e-06-G2-N1-NN1-lm1-len256/pe4_rs0.5_nr32_ln_sr_tm0.2/1000), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: auto (64)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4428|±  |  0.0997|
|                       |       |none  |     0|acc_norm  | 0.3151|±  |  0.0001|
|                       |       |none  |     0|perplexity|34.2001|±  |558.1034|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.2790|±  |  0.0086|
|                       |       |none  |     0|acc_norm  | 0.3268|±  |  0.0090|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2688|±  |  0.0085|
|                       |       |none  |     0|acc_norm  | 0.3034|±  |  0.0088|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 9.9473|±  |  0.3015|
|                       |       |none  |     0|acc       | 0.5024|±  |  0.0070|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|84.2633|±  |  4.6331|
|                       |       |none  |     0|acc       | 0.3113|±  |  0.0065|
| - paws_en             |Yaml   |none  |     0|acc       | 0.4030|±  |  0.0110|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4815|±  |  0.0112|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.5485|±  |  0.0111|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5474|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4908|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3916|±  |  0.0098|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.6605|±  |  0.0122|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6320|±  |  0.0124|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5890|±  |  0.0127|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4428|±  |  0.0997|
|         |       |none  |     0|acc_norm  | 0.3151|±  |  0.0001|
|         |       |none  |     0|perplexity|34.2001|±  |558.1034|

