Tue Dec 19 14:22:37 2023       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.12             Driver Version: 535.104.12   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA H100 PCIe               On  | 00000000:41:00.0 Off |                    0 |
| N/A   26C    P0              46W / 350W |      4MiB / 81559MiB |      0%   E. Process |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
bloom_english_1000it
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 64
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/dtu/p1/johlau/LMOps/minillm/results/bloom/train/minillm_en/bs2-lr5e-06-G2-N1-NN1-lm1-len256/pe4_rs0.5_nr32_ln_sr_tm0.2/1000), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: auto (64)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4479|±  |  0.0933|
|                       |       |none  |     0|acc_norm  | 0.3158|±  |  0.0001|
|                       |       |none  |     0|perplexity|27.9845|±  |329.4653|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.2797|±  |  0.0086|
|                       |       |none  |     0|acc_norm  | 0.3293|±  |  0.0090|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2655|±  |  0.0084|
|                       |       |none  |     0|acc_norm  | 0.3023|±  |  0.0088|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 9.3591|±  |  0.2841|
|                       |       |none  |     0|acc       | 0.5135|±  |  0.0070|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|66.4317|±  |  3.6799|
|                       |       |none  |     0|acc       | 0.3501|±  |  0.0066|
| - paws_en             |Yaml   |none  |     0|acc       | 0.4190|±  |  0.0110|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4430|±  |  0.0111|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.5435|±  |  0.0111|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5422|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4976|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3851|±  |  0.0098|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.6638|±  |  0.0122|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6234|±  |  0.0125|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5864|±  |  0.0127|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4479|±  |  0.0933|
|         |       |none  |     0|acc_norm  | 0.3158|±  |  0.0001|
|         |       |none  |     0|perplexity|27.9845|±  |329.4653|

