Tue Dec 19 15:21:06 2023       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.104.12             Driver Version: 535.104.12   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA H100 PCIe               On  | 00000000:41:00.0 Off |                    0 |
| N/A   35C    P0              48W / 350W |      4MiB / 81559MiB |      0%   E. Process |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
llama_english_1000it
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 64
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/dtu/p1/johlau/LMOps/minillm/results/llama/train/minillm_en/bs2-lr5e-06-G2-N1-NN1-lm1-len256/pe4_rs0.5_nr64_ln_sr_tm0.2/1000), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: auto (64)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.5012|±  |  0.1075|
|                       |       |none  |     0|acc_norm  | 0.3660|±  |  0.0004|
|                       |       |none  |     0|perplexity|14.5491|±  |126.2484|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.3559|±  |  0.0091|
|                       |       |none  |     0|acc_norm  | 0.4026|±  |  0.0094|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2969|±  |  0.0087|
|                       |       |none  |     0|acc_norm  | 0.3293|±  |  0.0090|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 3.0108|±  |  0.0638|
|                       |       |none  |     0|acc       | 0.7471|±  |  0.0061|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|38.3669|±  |  2.1607|
|                       |       |none  |     0|acc       | 0.4524|±  |  0.0069|
| - paws_en             |Yaml   |none  |     0|acc       | 0.3710|±  |  0.0108|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4010|±  |  0.0110|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.4840|±  |  0.0112|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5679|±  |  0.0099|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4490|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3578|±  |  0.0096|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.7816|±  |  0.0106|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6664|±  |  0.0121|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5572|±  |  0.0128|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.5012|±  |  0.1075|
|         |       |none  |     0|acc_norm  | 0.3660|±  |  0.0004|
|         |       |none  |     0|perplexity|14.5491|±  |126.2484|

